words,times
剧情,8733
演技,6538
喜欢,4167
好看,3926
电影,3818
演员,3786
不错,3642
女主,3561
感觉,3403
故事,2788
这部,2679
男主,2587
角色,2109
一部,2037
台词,1971
可爱,1820
特效,1816
导演,1778
男女,1709
人物,1651
编剧,1640
开始,1381
期待,1362
节奏,1326
电视剧,1299
爱,1284
原著,1282
尴尬,1258
看过,1247
一点,1237
感,1229
观众,1225
希望,1207
点,1198
一星,1195
热巴,1185
剧本,1152
特别,1134
搞笑,1107
主演,1087
哈哈哈,1062
适合,1060
颜值,1056
主,1052
在线,1039
肖战,1036
小说,1036
前,1027
人设,1024
笑,1009
比较,998
镜头,990
脸,981
实在,977
逻辑,961
值得,921
这剧,917
主角,911
王一博,909
不行,909
cp,885
确实,883
许凯,883
题材,877
情节,877
两个,876
甜,874
无聊,868
本来,862
难看,862
男,835
烂,821
差,818
表演,797
看着,797
中国,789
看不下去,777
造型,772
线,762
赵露思,757
真实,755
感情,741
配音,731
国产,728
几集,725
结局,721
女,714
生活,708
赵丽颖,696
女性,694
星,694
一集,690
画面,689
细节,679
道,677
越,674
服化,670
设定,665
那种,655
高,655
追,650
第一集,645
剪辑,643
地方,643
整体,641
好好,640
男二,635
爱情,630
配角,630
偶像剧,628
杨幂,625
时间,619
粉丝,618
只能,617
改编,616
制作,615
现实,615
失望,609
讲,605
几个,597
片子,597
两集,589
剧里,583
这是,579
可惜,577
不好,568
作品,561
滤镜,554
行,551
千玺,549
走,548
尬,547
历史,546
医生,545
没想到,541
自然,540
五星,536
世界,529
紧凑,528
惊喜,527
沙雕,523
梁朝伟,522
表现,522
感动,522
场景,517
好像,508
烂片,508
写,506
出戏,497
三星,497
古装,497
拉,496
美,494
终于,491
发现,489
戏份,486
越来越,485
努力,484
表情,479
眼睛,479
搞,477
迪丽,473
少年,471
拖沓,466
吸引,466
结尾,465
东西,464
莫名其妙,454
恋爱,453
不想,444
垃圾,444
质感,443
第一部,442
很棒,441
😭,440
套路,439
进步,438
一种,438
吃,436
精彩,432
成,432
烊,430
用心,429
哈哈哈哈,428
叙事,419
狗血,419
算,418
眼神,417
😂,416
唯一,416
超级,415
弟弟,413
无脑,412
啊啊啊,411
帅,410
吴磊,409
逼,409
样子,408
影片,408
傻,401
懂,398
年代,398
好多,397
正,397
那段,396
打戏,391
